S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency ID
4,HITESH PANDURANG MADAVI,Vanchit Bahujan  Aaghadi,15824,98,15922,1.37,S1312
5,VINOD GURUDAS MADAVI,Independent,6107,19,6126,0.53,S1312
6,KODAPE VILAS SHAMARAO,Independent,4396,6,4402,0.38,S1312
7,SUHAS UMESH KUMRE,Bhim Sena,2851,21,2872,0.25,S1312
8,KARAN SURESH SAYAM,Independent,2772,17,2789,0.24,S1312
9,BARIKRAO DHARMAJI MADAVI,Bahujan Republican  Socialist Party,2527,28,2555,0.22,S1312
10,DHIRAJ PURUSHOTTAM SHEDMAKE,Janseva Gondwana Party,2141,33,2174,0.19,S1312
11,NOTA,None of the Above,16507,70,16577,1.42,S1312
1,BANSURI SWARAJ,Bharatiya Janata Party,451464,1721,453185,53.48,U054
2,SOMNATH BHARTI,Aam Aadmi Party,374032,783,374815,44.23,U054
3,RAAJ KUMAR ANAND,Bahujan Samaj Party,5601,28,5629,0.66,U054
4,SANJAY RAWAT,Independent,1271,5,1276,0.15,U054
5,ACHLA JETHMALANI,Jindabad Kranti Party,1036,1,1037,0.12,U054
6,HIRA LAL,Independent,1005,0,1005,0.12,U054
7,PREM SINGH,Navarang Congress Party,800,6,806,0.1,U054
8,UPEN‍DRA,Anjaan Aadmi Party,781,0,781,0.09,U054
9,DILIP SINGH,Independent,725,1,726,0.09,U054
10,LUKMAN KHAN,Log Party,654,2,656,0.08,U054
11,PUNAM PANDEY,Rashtravadi Loktantrik Party (India),640,1,641,0.08,U054
12,SANDHYA THAKKAR,Rashtriya Republican Party,485,1,486,0.06,U054
13,RAVINDER SINGH,Independent,414,2,416,0.05,U054
14,DINESH KUMAR,Peoples Party of India (Democratic),360,1,361,0.04,U054
15,PRITHVI NATH SINGH,Bharatiya Sampuran Krantikari Party,335,0,335,0.04,U054
16,MAHESH KUMAR DENWAL,Ambedkarite Party of India,287,1,288,0.03,U054
17,MANOJ KUMAR SHARMA,Loktantrik Janshakti Party,208,4,212,0.03,U054
18,NOTA,None of the Above,4791,22,4813,0.57,U054
1,DILESHWAR KAMAIT,Janata Dal  (United),592922,2116,595038,48.33,S048
2,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,422037,3198,425235,34.54,S048
3,BAIDYA NATH MEHTA,Independent,51325,327,51652,4.2,S048
4,YOG NARAYAN SINGH,Independent,27447,7,27454,2.23,S048
5,VINDESHWARI PRASAD,Independent,18450,7,18457,1.5,S048
6,KIRAN DEVI,Bahujan Samaj Party,17961,118,18079,1.47,S048
7,MOHD KALIM KHAN,Rashtriya Jansambhavna Party,14064,14,14078,1.14,S048
8,UMESH PRASAD SAH,Jai Hind Party,12971,43,13014,1.06,S048
9,RAJ KUMAR YADAV,Viro Ke Vir Indian Party,10795,11,10806,0.88,S048
10,RAMESH KUMAR ANAND,"Proutist Bloc, India",9439,12,9451,0.77,S048
11,ABDUL MATIN,Independent,7177,17,7194,0.58,S048
12,BAMBAM KUMAR,Independent,7000,6,7006,0.57,S048
13,NITISH KUMAR,Independent,5894,21,5915,0.48,S048
14,AJAY KUMAR SAH,Independent,5330,21,5351,0.43,S048
15,SHIV HARI AGRAWAL,Bharat Nirman Party,3770,2,3772,0.31,S048
16,NOTA,None of the Above,18444,168,18612,1.51,S048
1,MANISH JAISWAL,Bharatiya Janata Party,647416,7197,654613,51.76,S2714
2,JAI PRAKASH BHAI PATEL,Indian National Congress,371641,6286,377927,29.88,S2714
3,SANJAY KUMAR MEHTA,Independent,156298,1679,157977,12.49,S2714
4,SHASHI BHUSHAN KESHRI,Independent,15373,13,15386,1.22,S2714
5,ANIRUDDH KUMAR,Communist Party of India,10428,40,10468,0.83,S2714
6,MD. MOIN UDDIN AHMAD,Bahujan Samaj Party,7395,43,7438,0.59,S2714
7,MD. SERAJ,Independent,5503,3,5506,0.44,S2714
8,VINOD KUMAR RANA,Independent,4831,10,4841,0.38,S2714
9,KUNJ BIHARI KUMAR,Lokhit Adhikar Party,4220,14,4234,0.33,S2714
10,CHHATHI DEVI,Akhil Bhartiya Parivar Party,3296,20,3316,0.26,S2714
11,ABHISHEK KUMAR,Independent,2963,9,2972,0.24,S2714
12,NISHANT KUMAR SINHA,Peoples Party of India (Democratic),2932,24,2956,0.23,S2714
13,MANOJ KUMAR BEDIA,Independent,2559,19,2578,0.2,S2714
14,BHUNESHWAR BEDIYA,Samata Party,2236,28,2264,0.18,S2714
15,RAJ KUMAR,Jharkhand Party,1885,50,1935,0.15,S2714
16,SHYAM BIHARI PRAJAPATI,Bhagidari Party(P),1818,21,1839,0.15,S2714
17,PRAKASH SONI,Bhartiya Azad Sena,1209,8,1217,0.1,S2714
18,NOTA,None of the Above,7090,110,7200,0.57,S2714
1,ANAND BHADAURIYA,Samajwadi Party,442650,1093,443743,39.91,S2429
2,REKHA VERMA,Bharatiya Janata Party,438573,721,439294,39.51,S2429
3,SHYAM KISHOR AWASTHI,Bahujan Samaj Party,184964,510,185474,16.68,S2429
4,JANARDAN PRASAD,Communist Party of India,15898,2,15900,1.43,S2429
5,RAJESH KUMAR,Political Justice Party,5020,3,5023,0.45,S2429
6,ASHUTOSH PATHAK,Aam Janta Party (India),3550,6,3556,0.32,S2429
7,SUDESH KUMAR,Lok Jan Sangharsh Party,2811,3,2814,0.25,S2429
8,SAMRENDRA KUMAR,Independent,2482,2,2484,0.22,S2429
9,VIJAY KUMAR TIWARI,Independent,2017,0,2017,0.18,S2429
10,KASIM ALI,Peace Party,1809,3,1812,0.16,S2429
11,SAKASEN,Sardar Patel Siddhant Party,1295,1,1296,0.12,S2429
12,RAM NARESH,Independent,1290,0,1290,0.12,S2429
13,NOTA,None of the Above,7133,11,7144,0.64,S2429
1,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,664093,5656,669749,59.2,S069
2,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,403461,4671,408132,36.07,S069
3,DABHI ASHOKBHAI SUKHABHAI,Bahujan Samaj Party,11885,151,12036,1.06,S069
4,VINODBHAI BABUBHAI SATROTIYA,Independent,5940,6,5946,0.53,S069
5,KOLI RAMESHBHAI VIRSANGBHAI VAGHELA,Independent,5173,16,5189,0.46,S069
6,CHAVDA NILESHBHAI MANSUKHBHAI,Rashtra Nirman Party,4103,26,4129,0.36,S069
7,ZALA DEVRAJBHAI BABUBHAI,Independent,2442,21,2463,0.22,S069
8,J.K.PATEL,Independent,2308,59,2367,0.21,S069
9,DEVENDRA MOHANDAS MAHANT,Gunj Satya Ni Janata Party,2042,9,2051,0.18,S069
10,GEDIYA KRUSHANAVADAN HARIPRASADBHAI,Independent,1435,24,1459,0.13,S069
11,ANANDBHAI PACHANBHAI RATHOD,Independent,1241,8,1249,0.11,S069
12,DILIPBHAI PARSHOTTAMBHAI MAKWANA,New India United Party,1222,35,1257,0.11,S069
13,ASHOK PALAJIBHAI RATHOD,Independent,1087,4,1091,0.1,S069
14,PATEL MADHUSUDAN BALDEVBHAI,Mission All India Independent Justice Party,948,12,960,0.08,S069
15,NOTA,None of the Above,12799,500,13299,1.18,S069
1,VENKATESAN S,Communist Party of India  (Marxist),428201,2122,430323,43.6,S2232
2,RAAMA SREENIVASAN,Bharatiya Janata Party,219035,1879,220914,22.38,S2232
3,SARAVANAN P,All India Anna Dravida Munnetra Kazhagam,204163,641,204804,20.75,S2232
4,SATHYADEVI T,Naam Tamilar Katchi,92386,493,92879,9.41,S2232
5,VELMURUGAN A,Bharatiya Praja Aikyata Party,5966,43,6009,0.61,S2232
6,VENKATESAN M,Independent,2497,8,2505,0.25,S2232
7,RAMAR PANDI T,Bahujan Samaj Party,2489,17,2506,0.25,S2232
8,SHANMUGA SUNDARAM A,United Republican Party of India,2338,11,2349,0.24,S2232
9,PERIYASAMY K,Independent,1966,2,1968,0.2,S2232
10,PANDIYAN S,Bahujan Dravida Party,1559,3,1562,0.16,S2232
11,BOOMINATHAN C,Independent,1211,2,1213,0.12,S2232
12,MUTHUPANDI S,Independent,1206,1,1207,0.12,S2232
13,RAMANATHAN S,Independent,1191,3,1194,0.12,S2232
14,VENKATESH S,Independent,1041,5,1046,0.11,S2232
15,SANKARAPANDI M.P.,Independent,1025,4,1029,0.1,S2232
16,GOPISON M.M.,Independent,942,4,946,0.1,S2232
17,SARAVANAN K.K.,Independent,843,1,844,0.09,S2232
18,GOPALAKRISHNAN S,Independent,745,1,746,0.08,S2232
19,CHANDRASEKAR N,Independent,708,3,711,0.07,S2232
20,PANDIYAN P,Socialist Unity Centre Of India (COMMUNIST),576,2,578,0.06,S2232
21,AVADAINATHAN V,Independent,461,1,462,0.05,S2232
22,NOTA,None of the Above,11074,100,11174,1.13,S2232
1,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,540267,5981,546248,53.08,S2239
2,RADHAKRISHNAN P,Bharatiya Janata Party,361623,4718,366341,35.6,S2239
3,MARIA JENNIFER CLARA MICHAEL,Naam Tamilar Katchi,51893,828,52721,5.12,S2239
4,PASILIAN NAZERATH,All India Anna Dravida Munnetra Kazhagam,40927,466,41393,4.02,S2239
5,NAGOOR MEERAN PEER MOHAMED U,Independent,4412,3,4415,0.43,S2239
6,BERRILA L,Independent,3256,6,3262,0.32,S2239
7,BALASUBRAMANIAN T,Independent,2047,25,2072,0.2,S2239
8,VIJAYAN G,Bahujan Samaj Party,1607,16,1623,0.16,S2239
9,DENNISON V,Independent,1274,4,1278,0.12,S2239
10,DR TOM MANOHAR C M,Punnagai Desam Party,1034,6,1040,0.1,S2239
11,SATHISH BABU P,Independent,747,1,748,0.07,S2239
12,RAJAN SINGH,Bahujan Dravida Party,592,6,598,0.06,S2239
13,GEETA M,Thakkam Katchi,528,24,552,0.05,S2239
14,SANTHAKUMAR N,Independent,521,6,527,0.05,S2239
15,RAMESHKUMAR J L,Independent,464,1,465,0.05,S2239
16,ESAKKIMUTHU N,Independent,435,6,441,0.04,S2239
17,AYYAPPAN V,Independent,358,15,373,0.04,S2239
18,SARAVANAN N,Samaniya Makkal Nala Katchi,308,7,315,0.03,S2239
19,VINO JEBA SEELAN T,Independent,265,5,270,0.03,S2239
20,KRISHNAN P,Independent,250,4,254,0.02,S2239
21,VENKADESH S C,Independent,187,1,188,0.02,S2239
22,ANTONY MICHAEL J,Independent,166,9,175,0.02,S2239
23,NOTA,None of the Above,3680,76,3756,0.36,S2239
1,INDRA HANG SUBBA,Sikkim Krantikari Morcha,156836,7560,164396,42.71,S211
2,BHARAT BASNETT,Citizen Action Party-Sikkim,78666,4900,83566,21.71,S211
3,PREM DAS RAI,Sikkim Democratic Front,75464,1707,77171,20.05,S211
4,LATEN TSHERING SHERPA,Independent,20197,1066,21263,5.52,S211
5,DINESH CHANDRA NEPAL,Bharatiya Janata Party,18788,247,19035,4.95,S211
6,SAMBHU CHETTRI,Independent,4682,8,4690,1.22,S211
7,KHARGA BHADUR RAI,Sikkim Republican Party,4591,208,4799,1.25,S211
8,GOPAL CHETTRI,Indian National Congress,2190,51,2241,0.58,S211
9,NAWIN KIRAN PRADHAN,Independent,1121,45,1166,0.3,S211
10,RAVI CHANDRA RAI,Independent,1077,46,1123,0.29,S211
11,BEENA RAI,Independent,1066,59,1125,0.29,S211
12,SHYAMAL PAL,Independent,735,5,740,0.19,S211
13,RUDRA MANI PRADHAN,Independent,512,7,519,0.13,S211
14,MADHUKAR DHAKAL,Independent,511,21,532,0.14,S211
15,NOTA,None of the Above,2433,94,2527,0.66,S211
1,AMIT SHAH,Bharatiya Janata Party,999984,10988,1010972,76.48,S066
2,SONAL RAMANBHAI PATEL,Indian National Congress,261411,4845,266256,20.14,S066
3,MOHAMMEDANISH DESAI,Bahujan Samaj Party,7272,122,7394,0.56,S066
4,SHAHNAWAZKHAN SULTANKHAN PATHAN,Independent,2325,7,2332,0.18,S066
5,MALEK MAKBUL SHAKIB,Independent,2052,6,2058,0.16,S066
6,THAKOR JITENDRASINH JASHAVANTSINH,Insaniyat Party,1949,60,2009,0.15,S066
7,PARIKH RAJIVBHAI KALABHAI,Independent,1719,32,1751,0.13,S066
8,MANSURI SUHANA,Independent,1437,16,1453,0.11,S066
9,MAURYA SUMITRA DEVNARIAN,Prajatantra Aadhar Party,1205,12,1217,0.09,S066
10,UMADIYA ALIBHAI RAJABHAI,Independent,1004,5,1009,0.08,S066
11,RAHUL CHIMANBHAI MEHTA,Right to Recall Party,982,19,1001,0.08,S066
12,PATHAN IMTIYAJKHAN,Independent,786,56,842,0.06,S066
13,BAGVAN BAHADURSHAH GULMOHAMMAD,Independent,755,16,771,0.06,S066
14,NAVSADALAM IBRAHIMBHAI MALEK,Independent,726,6,732,0.06,S066
15,NOTA,None of the Above,21233,772,22005,1.66,S066
1,P. P. CHAUDHARY,Bharatiya Janata Party,750568,6821,757389,55.94,S2015
2,SANGEETA BENIWAL,Indian National Congress,505754,6284,512038,37.82,S2015
3,LAL SINGH DEWASI,Independent,18848,154,19002,1.4,S2015
4,HUKAM SINGH,Independent,16835,262,17097,1.26,S2015
5,MAHENDRA REGAR,Bahujan Samaj Party,11054,47,11101,0.82,S2015
6,JEEVARAM RANA,Bharat Adivasi Party,8325,22,8347,0.62,S2015
7,SHRAWAN RAM DEWASI,Independent,5585,8,5593,0.41,S2015
8,MUKESH SAINI,Independent,2471,52,2523,0.19,S2015
9,BASTIRAM,Indian Peoples Green Party,1570,16,1586,0.12,S2015
10,BHIYARAM,Independent,1335,10,1345,0.1,S2015
11,ANAND KUMAR PARIHAR,Independent,1327,8,1335,0.1,S2015
12,KESARAM,Independent,1327,18,1345,0.1,S2015
13,DEEPAK BAMNIYA,Independent,1256,32,1288,0.1,S2015
14,NOTA,None of the Above,13763,90,13853,1.02,S2015
1,ANUP SANJAY DHOTRE,Bharatiya Janata Party,454972,2058,457030,38.96,S136
2,ABHAY KASHINATH PATIL,Indian National Congress,414557,1847,416404,35.5,S136
3,AMBEDKAR PRAKASH YASHWANT,Vanchit Bahujan  Aaghadi,275490,1257,276747,23.59,S136
4,ADV NAJIB SHAIKH,Indian National League,3288,12,3300,0.28,S136
5,KASHINATH VISHWANATH DHAMODE,Bahujan Samaj Party,2737,23,2760,0.24,S136
6,MURLIDHAR LALSING PAWAR,Independent,2058,8,2066,0.18,S136
7,ADHAU RAVIKANT RAMKRUSHNA,Jay Vidarbha Party,1710,24,1734,0.15,S136
8,AACHARYADIP SUBHASHCHANDRA GANOJE,Independent,1610,8,1618,0.14,S136
9,UJWALA VINAYAK RAUT,Independent,1298,8,1306,0.11,S136
10,DHARMENDRA CHANDRAPRAKASH KOTHARI,Independent,1236,4,1240,0.11,S136
11,DILIP SHATRUGHAN MHAISANE,Independent,860,2,862,0.07,S136
12,ASHOK KISANRAO THORAT,Independent,573,8,581,0.05,S136
13,MOHMMAD AJAZ MOHMMAD TAHER,Azad Adhikar Sena,564,4,568,0.05,S136
14,BABAN MAHADEV SAYAM,Janseva Gondwana Party,535,2,537,0.05,S136
15,PRITI PRAMOD SADANSHIV,Republican Party of India (Social),528,8,536,0.05,S136
16,NOTA,None of the Above,5752,31,5783,0.49,S136
1,RAHUL SINGH LODHI,Bharatiya Janata Party,708589,1179,709768,65.18,S127
2,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,302828,514,303342,27.86,S127
3,ENGINEER GOVERDHAN RAJ,Bahujan Samaj Party,21379,25,21404,1.97,S127
4,BHAIYA VIJAY PATEL (KURMI) TIRGARH BALE,Bhartiya Shakti Chetna Party,12200,17,12217,1.12,S127
5,MANU SINGH MARAVI,Bharat Adivasi Party,7871,16,7887,0.72,S127
6,RAHUL BHAIYA S/O RAM PRATAP,Independent,6273,12,6285,0.58,S127
7,RAHUL BHAIYA S/O JEEVAN LAL,Independent,5556,5,5561,0.51,S127
8,VEDRAM KURMI,Independent,4054,3,4057,0.37,S127
9,RAJESH SINGH SOYAM,Gondvana Gantantra Party,3172,18,3190,0.29,S127
10,RAKESH KUMAR AHIRWAR,Independent,2044,7,2051,0.19,S127
11,NANDAN KUMAR AHIRWAL,Independent,1848,5,1853,0.17,S127
12,NEELESH SONI,Independent,1277,1,1278,0.12,S127
13,DURGA MOUSI,Independent,1120,4,1124,0.1,S127
14,TARVAR SINGH LODHI,Independent,1092,2,1094,0.1,S127
15,NOTA,None of the Above,7820,13,7833,0.72,S127
1,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1,S111
2,M.V BALAKRISHNAN MASTER,Communist Party of India  (Marxist),385969,4041,390010,35.06,S111
3,M.L ASHWINI,Bharatiya Janata Party,217996,1562,219558,19.73,S111
4,SUKUMARI M,Bahujan Samaj Party,1599,13,1612,0.14,S111
5,RAJESWARI K.R,Independent,886,11,897,0.08,S111
6,MANOHARAN K,Independent,777,27,804,0.07,S111
7,ANEESH PAYYANNUR,Independent,744,15,759,0.07,S111
8,BALAKRISHNAN N,Independent,594,34,628,0.06,S111
9,N KESHAVA NAYAK,Independent,480,27,507,0.05,S111
10,NOTA,None of the Above,7037,75,7112,0.64,S111
1,KIRTIVARDHAN SINGH,Bharatiya Janata Party,473691,567,474258,49.77,S2459
2,SHREYA VERMA,Samajwadi Party,427363,671,428034,44.92,S2459
3,SAURABH,Bahujan Samaj Party,29388,41,29429,3.09,S2459
4,RAM UJAGAR,Independent,3535,0,3535,0.37,S2459
5,ARUNIMA PANDEY,Independent,3070,3,3073,0.32,S2459
6,RAGHAVENDRA,Bhartiya Shakti Chetna Party,2027,1,2028,0.21,S2459
7,RAJKUMAR,Independent,1988,1,1989,0.21,S2459
8,VINOD KUMAR SINGH,Bhartiya Uday Nirman Party,1482,1,1483,0.16,S2459
9,NOTA,None of the Above,9048,7,9055,0.95,S2459
1,RAJ KUMAR ROAT,Bharat Adivasi Party,815430,5401,820831,50.15,S2020
2,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,568589,5188,573777,35.05,S2020
3,RAJKUMAR S/O HIRALAL,Independent,74551,47,74598,4.56,S2020
4,ARVIND SITA DAMOR,Indian National Congress,60917,294,61211,3.74,S2020
5,RAJKUMAR S/O PREMJI,Independent,41742,48,41790,2.55,S2020
6,BANSHILAL AHARI,Independent,17884,12,17896,1.09,S2020
7,SHANKARLAL BAMANIYA,Indian Peoples Green Party,17169,19,17188,1.05,S2020
8,DILEEP KUMAR MEENA,Bahujan Samaj Party,8573,18,8591,0.52,S2020
9,NOTA,None of the Above,20892,78,20970,1.28,S2020
1,MOHAMMAD JAWED,Indian National Congress,402470,380,402850,35,S0410
2,MUJAHID ALAM,Janata Dal  (United),342795,363,343158,29.81,S0410
3,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,309011,253,309264,26.87,S0410
4,BIDESHI RISHIDEV,Independent,11815,3,11818,1.03,S0410
5,VISHWANATH TUDU,Independent,11300,2,11302,0.98,S0410
6,MD GUFRAN JAMALI,Independent,9992,1,9993,0.87,S0410
7,HASIRUL,Independent,9522,2,9524,0.83,S0410
8,BABUL ALAM,Bahujan Samaj Party,7575,4,7579,0.66,S0410
9,RAVI KUMAR ROY,Independent,7299,3,7302,0.63,S0410
10,SHAHABUZZAMA BHARTIYA,Rashtriya Samaj Paksha,6055,0,6055,0.53,S0410
11,CHHOTE LAL MAHTO,Independent,3758,5,3763,0.33,S0410
12,MOHAMMAD KAUSAR PERWEZ,Independent,3525,0,3525,0.31,S0410
13,NOTA,None of the Above,24953,13,24966,2.17,S0410
1,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,440352,2683,443035,47.88,S0436
2,CHANDESHWAR PRASAD,Janata Dal  (United),299044,1400,300444,32.47,S0436
3,ARUN KUMAR,Bahujan Samaj Party,85696,684,86380,9.33,S0436
4,MINTA DEVI,Independent,16112,11,16123,1.74,S0436
5,MUNILAL YADAV,Independent,13021,8,13029,1.41,S0436
6,ASHUTOSH KUMAR,Rashtriya Jan Jan Party,12954,259,13213,1.43,S0436
7,DEEPAK KUMAR,Jagrook Janta Party,8944,26,8970,0.97,S0436
8,BUDDHADEV SAV,Independent,5765,8,5773,0.62,S0436
9,NARESH KUMAR,Independent,5709,3,5712,0.62,S0436
10,CHANDESHWAR PRASAD,Independent,5356,22,5378,0.58,S0436
11,PIYUSH SINGH,Shoshit Samaj Dal,4611,7,4618,0.5,S0436
12,RAJ KISHOR SHARMA,Bhartiya Sarthak Party,3230,13,3243,0.35,S0436
13,KAPIL CHAUHAN,Jan Janwadi Party,2954,10,2964,0.32,S0436
14,ASHUTOSH VINAY KUMAR,Rashtriya Garib Dal,2895,14,2909,0.31,S0436
15,UMA SHANKAR VERMA,Socialist Unity Centre Of India (COMMUNIST),2509,15,2524,0.27,S0436
16,NOTA,None of the Above,10960,95,11055,1.19,S0436
1,V K SREEKANDAN,Indian National Congress,418072,3097,421169,40.66,S118
2,A VIJAYARAGHAVAN,Communist Party of India  (Marxist),342798,3088,345886,33.39,S118
3,C KRISHNAKUMAR,Bharatiya Janata Party,249568,2210,251778,24.31,S118
4,K T PADMINI,Bahujan Samaj Party,2102,30,2132,0.21,S118
5,ANNA KURIAKOSE,Independent,1416,17,1433,0.14,S118
6,N S K PURAM SASIKUMAR,Independent,1151,26,1177,0.11,S118
7,RAJESH K SON OF VELANKUTTY,Independent,1033,23,1056,0.1,S118
8,RAJESH M SON OF MANI C,Independent,947,6,953,0.09,S118
9,SIDHEEK IRUPPASSERY,Independent,913,26,939,0.09,S118
10,C RAJAMANICKAM,Independent,516,4,520,0.05,S118
11,NOTA,None of the Above,8724,69,8793,0.85,S118
1,EATALA RAJENDER,Bharatiya Janata Party,980712,10330,991042,51.25,S297
2,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,593337,6230,599567,31,S297
3,RAGIDI LAXMA REDDY,Bharat Rashtra Samithi,298697,1789,300486,15.54,S297
4,THALLADA VENKATESWARLU,Independent,6784,16,6800,0.35,S297
5,ANITHA REDDY SHEELAM,Bahujan Samaj Party,4718,61,4779,0.25,S297
6,VAISHNAVI PRASAD,Independent,1894,18,1912,0.1,S297
7,PAREE (PESARIKAYALA PAREEKSHITH REDDY),Independent,1831,4,1835,0.09,S297
8,DONTHULA BIKSHAPATHI,Independent,1813,8,1821,0.09,S297
9,BHARATHA SUDARSHAN,Independent,1639,4,1643,0.08,S297
10,APPARAO KONDA,Rashtra Samanya Praja Party,1157,5,1162,0.06,S297
11,MOUTAM SAMPATH,Independent,1135,2,1137,0.06,S297
12,RAJESH MISHRA,Independent,1110,0,1110,0.06,S297
13,BANJAPALLY SUDHA RANI,Independent,1064,5,1069,0.06,S297
14,CHIRIPI REDDY RAMESH,Independent,986,1,987,0.05,S297
15,PEDDAPALLI SANDEEP,Bharathiya YuvaKula Dalam,930,3,933,0.05,S297
16,BOIN DURGA PRASAD YADAV,Dharma Samaj Party,778,11,789,0.04,S297
17,CHAMAKURA RAJAIAH ALIAS PIDIKILI RAJU,Social Justice Party of India,722,1,723,0.04,S297
18,NARRA SUKHENDER REDDY,Vidhyarthula Rajakiya Party,690,4,694,0.04,S297
19,KANTE SAYANNA,Independent,539,0,539,0.03,S297
20,JUVVA PHANI KUMAR CHOWDARY,Jai Bharat National Party,505,3,508,0.03,S297
21,YADISHWAR NAKKA,Telangana Republican Party,492,2,494,0.03,S297
22,R. SUBENDER SINGH,Independent,446,1,447,0.02,S297
23,NOTA,None of the Above,13206,160,13366,0.69,S297
1,BALABHADRA MAJHI,Bharatiya Janata Party,478330,3066,481396,38.74,S1812
2,PRADEEP KUMAR MAJHI,Biju Janata Dal,392448,1412,393860,31.7,S1812
3,BHUJABAL MAJHI,Indian National Congress,302095,1297,303392,24.42,S1812
4,TRINATH MUNDAGUDIA,Socialist Unity Centre Of India (COMMUNIST),20548,11,20559,1.65,S1812
5,NOTA,None of the Above,43240,28,43268,3.48,S1812
1,SHER SINGH GHUBAYA,Indian National Congress,264712,1914,266626,23.7,S1910
2,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,261273,2111,263384,23.41,S1910
3,GURMIT SINGH SODHI,Bharatiya Janata Party,253841,1256,255097,22.67,S1910
4,NARDEV SINGH BOBBY MANN,Shiromani Akali Dal,252327,1318,253645,22.54,S1910
5,GURCHARAN SINGH BHULLAR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),15836,105,15941,1.42,S1910
6,FOJI ANGREJ SINGH WARWAL,Independent,9435,43,9478,0.84,S1910
7,SURINDER KAMBOJ,Bahujan Samaj Party,8347,86,8433,0.75,S1910
8,JASKARAN SINGH KAHAN SINGH WALA,Independent,6480,55,6535,0.58,S1910
9,SUKHDEV SINGH,Independent,4597,2,4599,0.41,S1910
10,SAHIL MONGA,Independent,3705,19,3724,0.33,S1910
11,PRITAM SINGH,Independent,3030,1,3031,0.27,S1910
12,GURPREET SINGH,Independent,2894,3,2897,0.26,S1910
13,ARWINDER SINGH,Independent,2556,14,2570,0.23,S1910
14,DEEPAK KUMAR DEEP DASHANAND,Independent,2435,1,2436,0.22,S1910
15,RAJ,Independent,2428,4,2432,0.22,S1910
16,PREM CHAND BOONGI,Punjab National Party,1944,3,1947,0.17,S1910
17,AJIT SINGH,Rashtriya Republican Party,1609,6,1615,0.14,S1910
18,SURINDER KUMAR BANSAL,Independent,1537,3,1540,0.14,S1910
19,HARPREET SINGH,Independent,1531,7,1538,0.14,S1910
20,KULDEEP SINGH,India Praja Bandhu Party,1484,6,1490,0.13,S1910
21,BALWINDER SINGH CHOHAN,Jan Sewa Driver Party,1366,1,1367,0.12,S1910
22,BALWINDER SINGH,Republican Party of India (Athawale),1364,0,1364,0.12,S1910
23,GURCHARAN SINGH,Independent,1338,4,1342,0.12,S1910
24,UMESH KUMAR,Independent,1319,1,1320,0.12,S1910
25,BALWANT SINGH SAMMEWALI,Nationalist Justice Party,1148,4,1152,0.1,S1910
26,MOHAN SINGH,Independent,1075,3,1078,0.1,S1910
27,JASKARAN SINGH SIDHU,Independent,970,1,971,0.09,S1910
28,JASWANT SINGH KHATRI,Independent,820,1,821,0.07,S1910
29,CHAMKAUR SINGH,Independent,638,4,642,0.06,S1910
30,NOTA,None of the Above,5895,205,6100,0.54,S1910
1,KISHORI LAL,Indian National Congress,536680,2548,539228,54.99,S2437
2,SMRITI IRANI,Bharatiya Janata Party,370754,1278,372032,37.94,S2437
3,NANHE SINGH CHAUHAN,Bahujan Samaj Party,34418,116,34534,3.52,S2437
4,SURENDRA KUMAR,Independent,5699,0,5699,0.58,S2437
5,DINESH CHANDRA MAURYA,Janshakti Samta Party,4569,8,4577,0.47,S2437
6,JAGDAMBA PRASAD YADAV,Independent,4019,1,4020,0.41,S2437
7,BHAGWANDIN PASI,Moulik Adhikar Party,2333,1,2334,0.24,S2437
8,CHANDRAWATI,Independent,2278,13,2291,0.23,S2437
9,MOHD HASAN LAHRI,Rashtriya Narayanwadi Vikas Party,1525,2,1527,0.16,S2437
10,KHUSHIRAM,Independent,1401,0,1401,0.14,S2437
11,UDAYRAJ,Independent,1300,5,1305,0.13,S2437
12,SANTRAM,Samajhdar Party,1208,4,1212,0.12,S2437
13,SHAILENDRA KUMAR MISHRA,Sanyogwadi Party,1124,4,1128,0.12,S2437
14,NOTA,None of the Above,9371,12,9383,0.96,S2437
1,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),537331,1326,538657,50.73,S0425
2,SANJAY KUMAR,Communist Party of India  (Marxist),375988,1538,377526,35.55,S0425
3,RUPAM DEVI,Independent,27370,25,27395,2.58,S0425
4,SONU KUMAR,Independent,24478,5,24483,2.31,S0425
5,PINKESH KUMAR,Rashtriya Jan Kalyan Party Secular,19487,8,19495,1.84,S0425
6,DR RAVI KUMAR,Bahujan Samaj Party,13894,159,14053,1.32,S0425
