Constituency,Const. No.,Parliament Constituency,Leading Candidate,Trailing Candidate,Margin,Status,State ID,State
Barrackpur,15,BARRACKPUR(15),PARTHA BHOWMICK,ARJUN SINGH,64438,Result Declared,S25,Himachal Pradesh
Baharaich,56,BAHARAICH(56),ANAND KUMAR,RAMESH CHANDRA,64227,Result Declared,S24,Himachal Pradesh
Chalakudy,11,CHALAKUDY(11),BENNY BEHANAN,PROF C RAVEENDRANATH,63754,Result Declared,S11,Himachal Pradesh
Alappuzha,15,ALAPPUZHA(15),K. C VENUGOPAL,A. M ARIFF,63513,Result Declared,S11,Himachal Pradesh
HISAR,4,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,RANJIT SINGH,63381,Result Declared,S07,Haryana
Kadapa,21,KADAPA(21),Y. S. AVINASH REDDY,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,62695,Result Declared,S01,Andhra Pradesh
Latur,41,LATUR(41),DR. KALGE SHIVAJI BANDAPPA,SUDHAKAR TUKARAM SHRANGARE,61881,Result Declared,S13,Himachal Pradesh
Ujiarpur,22,UJIARPUR(22),NITYANAND RAI,ALOK KUMAR MEHTA,60102,Result Declared,S04,Bihar
JANJGIR-CHAMPA,3,JANJGIR-CHAMPA(3),KAMLESH JANGDE,DR. SHIVKUMAR DAHARIYA,60000,Result Declared,S26,Himachal Pradesh
Arrah,32,ARRAH(32),SUDAMA PRASAD,R. K. SINGH,59808,Result Declared,S04,Bihar
Kishanganj,10,KISHANGANJ(10),MOHAMMAD JAWED,MUJAHID ALAM,59692,Result Declared,S04,Bihar
Asansol,40,ASANSOL(40),SHATRUGHAN PRASAD SINHA,SURENDRAJEET SINGH AHLUWALIA,59564,Result Declared,S25,Himachal Pradesh
Nanded,16,NANDED(16),CHAVAN VASANTRAO BALWANTRAO,CHIKHALIKAR PRATAPRAO GOVINDRAO,59442,Result Declared,S13,Himachal Pradesh
Allahabad,52,ALLAHABAD(52),UJJWAL RAMAN SINGH,NEERAJ TRIPATHI,58795,Result Declared,S24,Himachal Pradesh
Etawah,41,ETAWAH(41),JITENDRA KUMAR DOHARE,DR RAM SHANKAR KATHERIA,58419,Result Declared,S24,Himachal Pradesh
Dadar & Nagar Haveli,2,DADAR&NAGARHAVELI(2),DELKAR KALABEN MOHANBHAI,AJIT RAMJIBHAI MAHALA,57584,Result Declared,U03,Himachal Pradesh
Cuttack,14,CUTTACK(14),BHARTRUHARI MAHTAB,SANTRUPT MISRA,57077,Result Declared,S18,Himachal Pradesh
Krishnanagar,12,KRISHNANAGAR(12),MAHUA MOITRA,AMRITA ROY,56705,Result Declared,S25,Himachal Pradesh
BIKANER,2,BIKANER(2),ARJUN RAM MEGHWAL,GOVINDRAM MEGHWAL,55711,Result Declared,S20,Himachal Pradesh
Shahjahanpur,27,SHAHJAHANPUR(27),ARUN KUMAR SAGAR,JYOTSNA GOND,55379,Result Declared,S24,Himachal Pradesh
BASTAR,10,BASTAR(10),MAHESH KASHYAP,KAWASI LAKHMA,55245,Result Declared,S26,Himachal Pradesh
Faizabad,54,FAIZABAD(54),AWADHESH PRASAD,LALLU SINGH,54567,Result Declared,S24,Himachal Pradesh
Jalaun,45,JALAUN(45),NARAYAN DAS AHIRWAR,BHANU PRATAP SINGH VERMA,53898,Result Declared,S24,Himachal Pradesh
KALLAKURICHI,14,KALLAKURICHI(14),MALAIYARASAN D,KUMARAGURU R,53784,Result Declared,S22,Himachal Pradesh
Mumbai South Central,30,MUMBAISOUTHCENTRAL(30),ANIL YESHWANT DESAI,RAHUL RAMESH SHEWALE,53384,Result Declared,S13,Himachal Pradesh
Mumbai South,31,MUMBAISOUTH(31),ARVIND GANPAT SAWANT,YAMINI YASHWANT JADHAV,52673,Result Declared,S13,Himachal Pradesh
MORENA,1,MORENA(1),SHIVMANGAL SINGH TOMAR,NEETU SATYAPAL SINGH SIKARWAR,52530,Result Declared,S12,Himachal Pradesh
BHARATPUR,9,BHARATPUR(9),SANJNA JATAV,RAMSWAROOP KOLI,51983,Result Declared,S20,Himachal Pradesh
Kokrajhar,1,KOKRAJHAR(1),JOYANTA BASUMATARY,KAMPA BORGOYARI,51583,Result Declared,S03,Assam
Sitamarhi,5,SITAMARHI(5),DEVESH CHANDRA THAKUR,ARJUN RAY,51356,Result Declared,S04,Bihar
Nagaland,1,NAGALAND(1),S SUPONGMEREN JAMIR,DR CHUMBEN MURRY,50984,Result Declared,S17,Himachal Pradesh
Araku (ST),1,ARAKU(ST)(1),GUMMA THANUJA RANI,KOTHAPALLI GEETHA,50580,Result Declared,S01,Andhra Pradesh
Shirdi,38,SHIRDI(38),BHAUSAHEB RAJARAM WAKCHAURE,LOKHANDE SADASHIV KISAN,50529,Result Declared,S13,Himachal Pradesh
Ongole,16,ONGOLE(16),MAGUNTA SREENIVASULU REDDY,DR CHEVIREDDY BHASKAR REDD,50199,Result Declared,S01,Andhra Pradesh
Secunderabad,8,SECUNDERABAD(8),G. KISHAN REDDY,DANAM NAGENDER,49944,Result Declared,S29,Himachal Pradesh
Katihar,11,KATIHAR(11),TARIQ ANWAR,DULAL CHANDRA GOSWAMI,49863,Result Declared,S04,Bihar
Bathinda,11,BATHINDA(11),HARSIMRAT KAUR BADAL,GURMEET SINGH KHUDIAN,49656,Result Declared,S19,Himachal Pradesh
AMBALA,1,AMBALA(1),VARUN CHAUDHRY,BANTO KATARIA,49036,Result Declared,S07,Haryana
ALWAR,8,ALWAR(8),BHUPENDER YADAV,LALIT YADAV,48282,Result Declared,S20,Himachal Pradesh
Chitradurga,18,CHITRADURGA(18),GOVIND MAKTHAPPA KARJOL,B.N.CHANDRAPPA,48121,Result Declared,S10,Himachal Pradesh
Ratnagiri- Sindhudurg,46,RATNAGIRI-SINDHUDURG(46),NARAYAN TATU RANE,VINAYAK BHAURAO RAUT,47858,Result Declared,S13,Himachal Pradesh
Kanthi,31,KANTHI(31),ADHIKARI SOUMENDU,UTTAM BARIK SON OF LATE BIRENDRA BARIK,47764,Result Declared,S25,Himachal Pradesh
Koppal,8,KOPPAL(8),K. RAJASHEKAR BASAVARAJ HITNAL,DR . BASAVARAJ. K. SHARANAPPA,46357,Result Declared,S10,Himachal Pradesh
Gonda,59,GONDA(59),KIRTIVARDHAN SINGH,SHREYA VERMA,46224,Result Declared,S24,Himachal Pradesh
Zahirabad,5,ZAHIRABAD(5),SURESH KUMAR SHETKAR,B. B. PATIL,46188,Result Declared,S29,Himachal Pradesh
RAJNANDGAON,6,RAJNANDGAON(6),SANTOSH PANDEY,BHUPESH BAGHEL,44411,Result Declared,S26,Himachal Pradesh
Akbarpur,44,AKBARPUR(44),DEVENDRA SINGH ALIAS BHOLE SINGH,RAJARAM PAL,44345,Result Declared,S24,Himachal Pradesh
Hoshiarpur,5,HOSHIARPUR(5),DR. RAJ KUMAR CHABBEWAL,YAMINI GOMAR,44111,Result Declared,S19,Himachal Pradesh
Bhadohi,78,BHADOHI(78),DR. VINOD KUMAR BIND,LALITESHPATI TRIPATHI,44072,Result Declared,S24,Himachal Pradesh
Haveri,10,HAVERI(10),BASAVARAJ BOMMAI,ANANDSWAMY GADDADEVARMATH,43513,Result Declared,S10,Himachal Pradesh
Fatehpur Sikri,19,FATEHPURSIKRI(19),RAJKUMAR CHAHAR,RAMNATH SINGH SIKARWAR,43405,Result Declared,S24,Himachal Pradesh
Ballia,72,BALLIA(72),SANATAN PANDEY,NEERAJ SHEKHAR,43384,Result Declared,S24,Himachal Pradesh
KORBA,4,KORBA(4),JYOTSNA CHARANDAS MAHANT,SAROJ PANDEY,43283,Result Declared,S26,Himachal Pradesh
Sultanpur,38,SULTANPUR(38),RAMBHUAL NISHAD,MANEKA SANJAY GANDHI,43174,Result Declared,S24,Himachal Pradesh
Domariyaganj,60,DOMARIYAGANJ(60),JAGDAMBIKA PAL,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,42728,Result Declared,S24,Himachal Pradesh
Hassan,16,HASSAN(16),SHREYAS. M. PATEL,PRAJWAL REVANNA,42649,Result Declared,S10,Himachal Pradesh
NAGAUR,14,NAGAUR(14),HANUMAN BENIWAL,JYOTI MIRDHA,42225,Result Declared,S20,Himachal Pradesh
KOTA,24,KOTA(24),OM BIRLA,PRAHLAD GUNJAL,41974,Result Declared,S20,Himachal Pradesh
BHIWANI-MAHENDRAGARH,8,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,RAO DAN SINGH,41510,Result Declared,S07,Haryana
Jagatsinghpur,16,JAGATSINGHPUR(16),BIBHU PRASAD TARAI,DR. RAJASHREE MALLICK,40696,Result Declared,S18,Himachal Pradesh
Akola,6,AKOLA(6),ANUP SANJAY DHOTRE,ABHAY KASHINATH PATIL,40626,Result Declared,S13,Himachal Pradesh
Amritsar,2,AMRITSAR(2),GURJEET SINGH AUJLA,KULDEEP SINGH DHALIWAL,40301,Result Declared,S19,Himachal Pradesh
Coochbehar,1,COOCHBEHAR(1),JAGADISH CHANDRA BARMA BASUNIA,NISITH PRAMANIK,39250,Result Declared,S25,Himachal Pradesh
Medak,6,MEDAK(6),MADHAVANENI RAGHUNANDAN RAO,NEELAM MADHU,39139,Result Declared,S29,Himachal Pradesh
Mirzapur,79,MIRZAPUR(79),ANUPRIYA PATEL,RAMESH CHAND BIND,37810,Result Declared,S24,Himachal Pradesh
Bijnor,4,BIJNOR(4),CHANDAN CHAUHAN,DEEPAK,37508,Result Declared,S24,Himachal Pradesh
Bhandara Gondiya,11,BHANDARAGONDIYA(11),DR. PRASHANT YADAORAO PADOLE,SUNIL BABURAO MENDHE,37380,Result Declared,S13,Himachal Pradesh
Machhlishahr,74,MACHHLISHAHR(74),PRIYA SAROJ,BHOLANATH (B.P. SAROJ),35850,Result Declared,S24,Himachal Pradesh
Unnao,33,UNNAO(33),SWAMI SACHCHIDANAND HARI SAKSHI,ANNU TANDON,35818,Result Declared,S24,Himachal Pradesh
Maharajganj,63,MAHARAJGANJ(63),PANKAJ CHAUDHARY,VIRENDRA CHAUDHARY,35451,Result Declared,S24,Himachal Pradesh
Bhubaneswar,18,BHUBANESWAR(18),APARAJITA SARANGI,MANMATH KUMAR ROUTRAY,35152,Result Declared,S18,Himachal Pradesh
Badaun,23,BADAUN(23),ADITYA YADAV,DURVIJAY SINGH SHAKYA,34991,Result Declared,S24,Himachal Pradesh
Deoria,66,DEORIA(66),SHASHANK MANI,AKHILESH PRATAP SINGH,34842,Result Declared,S24,Himachal Pradesh
Bareilly,25,BAREILLY(25),CHHATRA PAL SINGH GANGWAR,PRAVEEN SINGH ARON,34804,Result Declared,S24,Himachal Pradesh
Kheri,28,KHERI(28),UTKARSH VERMA 'MADHUR',AJAY KUMAR,34329,Result Declared,S24,Himachal Pradesh
Fatehgarh Sahib,8,FATEHGARHSAHIB(8),AMAR SINGH,GURPREET SINGH GP,34202,Result Declared,S19,Himachal Pradesh
Misrikh,32,MISRIKH(32),ASHOK KUMAR RAWAT,SANGITA RAJVANSHI,33406,Result Declared,S24,Himachal Pradesh
Fatehpur,49,FATEHPUR(49),NARESH CHANDRA UTTAM PATEL,NIRANJAN JYOTI,33199,Result Declared,S24,Himachal Pradesh
Bankura,36,BANKURA(36),ARUP CHAKRABORTY,DR. SUBHAS SARKAR,32778,Result Declared,S25,Himachal Pradesh
Satara,45,SATARA(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SHASHIKANT JAYVANTRAO SHINDE,32771,Result Declared,S13,Himachal Pradesh
Bangalore central,25,BANGALORECENTRAL(25),P C MOHAN,MANSOOR ALI KHAN,32707,Result Declared,S10,Himachal Pradesh
Patan,3,PATAN(3),DABHI  BHARATSINHJI  SHANKARJI,CHANDANJI TALAJI THAKOR,31876,Result Declared,S06,Gujarat
Arunachal East,2,ARUNACHALEAST(2),TAPIR GAO,BOSIRAM SIRAM,30421,Result Declared,S02,Arunachal Pradesh
Banaskantha,2,BANASKANTHA(2),GENIBEN NAGAJI THAKOR,DR. REKHABEN HITESHBHAI CHAUDHARI,30406,Result Declared,S06,Gujarat
Buxar,33,BUXAR(33),SUDHAKAR SINGH,MITHILESH TIWARI,30091,Result Declared,S04,Bihar
Mumbai North East,28,MUMBAINORTHEAST(28),SANJAY DINA PATIL,MIHIR CHANDRAKANT KOTECHA,29861,Result Declared,S13,Himachal Pradesh
Buldhana,5,BULDHANA(5),JADHAV PRATAPRAO GANPATRAO,NARENDRA DAGDU KHEDEKAR,29479,Result Declared,S13,Himachal Pradesh
Sheohar,4,SHEOHAR(4),LOVELY ANAND,RITU JAISWAL,29143,Result Declared,S04,Bihar
NAMAKKAL,16,NAMAKKAL(16),MATHESWARAN V S,TAMILMANI S,29112,Result Declared,S22,Himachal Pradesh
KURUKSHETRA,2,KURUKSHETRA(2),NAVEEN JINDAL,DR SUSHIL GUPTA,29021,Result Declared,S07,Haryana
Ahmednagar,37,AHMEDNAGAR(37),NILESH DNYANDEV LANKE,DR. SUJAY RADHAKRISHNA VIKHEPATIL,28929,Result Declared,S13,Himachal Pradesh
Amroha,9,AMROHA(9),KANWAR SINGH TANWAR,KUNWAR DANISH ALI,28670,Result Declared,S24,Himachal Pradesh
Etah,22,ETAH(22),DEVESH SHAKYA,RAJVEER SINGH (RAJU BHAIYA),28052,Result Declared,S24,Himachal Pradesh
Ladakh,1,LADAKH(1),MOHMAD HANEEFA,TSERING NAMGYAL,27862,Result Declared,U09,West Bengal
Hardoi,31,HARDOI(31),JAI PRAKASH,USHA VERMA,27856,Result Declared,S24,Himachal Pradesh
Gulbarga,5,GULBARGA(5),RADHAKRISHNA,DR. UMESH G JADHAV,27205,Result Declared,S10,Himachal Pradesh
Medinipur,34,MEDINIPUR(34),JUNE MALIAH,AGNIMITRA PAUL,27191,Result Declared,S25,Himachal Pradesh
Davanagere,13,DAVANAGERE(13),DR. PRABHA MALLIKARJUN,GAYITHRI SIDDESHWARA,26094,Result Declared,S10,Himachal Pradesh
Muzaffarnagar,3,MUZAFFARNAGAR(3),HARENDRA SINGH MALIK,SANJEEV KUMAR BALYAN,24672,Result Declared,S24,Himachal Pradesh
Andaman & Nicobar Islands,1,ANDAMAN&NICOBARISLANDS(1),BISHNU PADA RAY,KULDEEP RAI SHARMA,24396,Result Declared,U01,Himachal Pradesh
Purnia,12,PURNIA(12),RAJESH RANJAN ALIAS PAPPU YADAV,SANTOSH KUMAR,23847,Result Declared,S04,Bihar
Dumka,2,DUMKA(2),NALIN SOREN,SITA MURMU,22527,Result Declared,S27,Himachal Pradesh
SONIPAT,6,SONIPAT(6),SATPAL BRAHAMCHARI,MOHAN LAL BADOLI,21816,Result Declared,S07,Haryana
Chandauli,76,CHANDAULI(76),BIRENDRA SINGH,DR. MAHENDRA NATH  PANDEY,21565,Result Declared,S24,Himachal Pradesh
Kandhamal,13,KANDHAMAL(13),SUKANTA KUMAR PANIGRAHI,ACHYUTANANDA SAMANTA,21371,Result Declared,S18,Himachal Pradesh
DHARMAPURI,10,DHARMAPURI(10),MANI. A.,SOWMIYA ANBUMANI,21300,Result Declared,S22,Himachal Pradesh
Kanpur,43,KANPUR(43),RAMESH AWASTHI,ALOK MISRA,20968,Result Declared,S24,Himachal Pradesh
Ludhiana,7,LUDHIANA(7),AMRINDER SINGH RAJA WARRING,RAVNEET SINGH BITTU,20942,Result Declared,S19,Himachal Pradesh
Alathur,9,ALATHUR(9),K.RADHAKRISHNAN,RAMYA HARIDAS,20111,Result Declared,S11,Himachal Pradesh
Araria,9,ARARIA(9),PRADEEP KUMAR SINGH,SHAHNAWAZ,20094,Result Declared,S04,Bihar
Amravati,7,AMRAVATI(7),BALWANT BASWANT WANKHADE,NAVNEET RAVI RANA,19731,Result Declared,S13,Himachal Pradesh
Sasaram,34,SASARAM(34),MANOJ KUMAR,SHIVESH KUMAR,19157,Result Declared,S04,Bihar
Karimganj,7,KARIMGANJ(7),KRIPANATH MALLAH,HAFIZ RASHID AHMED CHOUDHURY,18360,Result Declared,S03,Assam
JHUNJHUNU,4,JHUNJHUNU(4),BRIJENDRA SINGH OLA,SHUBHKARAN CHOUDHARY,18235,Result Declared,S20,Himachal Pradesh
Purulia,35,PURULIA(35),JYOTIRMAY SINGH MAHATO,SHANTIRAM MAHATO,17079,Result Declared,S25,Himachal Pradesh
Mumbai North Central,29,MUMBAINORTHCENTRAL(29),GAIKWAD VARSHA EKNATH,ADV UJWAL NIKAM,16514,Result Declared,S13,Himachal Pradesh
Thiruvananthapuram,20,THIRUVANANTHAPURAM(20),SHASHI THAROOR,RAJEEV CHANDRASEKHAR,16077,Result Declared,S11,Himachal Pradesh
Aonla,24,AONLA(24),NEERAJ MAURYA,DHARMENDRA KASHYAP,15969,Result Declared,S24,Himachal Pradesh
Aligarh,15,ALIGARH(15),SATISH KUMAR GAUTAM,BIJENDRA SINGH,15647,Result Declared,S24,Himachal Pradesh
Patiala,13,PATIALA(13),DR DHARAMVIRA GANDHI,DR BALBIR SINGH,14831,Result Declared,S19,Himachal Pradesh
Thirupathi(SC),23,THIRUPATHI(SC)(23),GURUMOORTHY MADDILA,VARA PRASAD RAO VELAGAPALLI,14569,Result Declared,S01,Andhra Pradesh
Saran,20,SARAN(20),RAJIV PRATAP RUDY,ROHINI ACHARYA,13661,Result Declared,S04,Bihar
South Goa,2,SOUTHGOA(2),CAPTAIN  VIRIATO FERNANDES,PALLAVI SHRINIVAS DEMPO,13535,Result Declared,S05,Goa
Hatkanangale,48,HATKANANGALE(48),DHAIRYASHEEL SAMBHAJIRAO MANE,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,13426,Result Declared,S13,Himachal Pradesh
Mavelikkara,16,MAVELIKKARA(16),KODIKUNNIL SURESH,ADV ARUN KUMAR C A,10868,Result Declared,S11,Himachal Pradesh
Anandpur Sahib,6,ANANDPURSAHIB(6),MALVINDER SINGH KANG,VIJAY INDER SINGLA,10846,Result Declared,S19,Himachal Pradesh
Meerut,10,MEERUT(10),ARUN GOVIL,SUNITA VERMA,10585,Result Declared,S24,Himachal Pradesh
Balurghat,6,BALURGHAT(6),SUKANTA MAJUMDAR,BIPLAB MITRA,10386,Result Declared,S25,Himachal Pradesh
Beed,39,BEED(39),BAJRANG MANOHAR SONWANE,PANKAJA GOPINATHRAO MUNDE,6553,Result Declared,S13,Himachal Pradesh
Arambagh,29,ARAMBAGH(29),BAG MITALI,ARUP KANTI DIGAR,6399,Result Declared,S25,Himachal Pradesh
Daman & Diu,1,DAMAN&DIU(1),PATEL UMESHBHAI BABUBHAI,LALUBHAI BABUBHAI PATEL,6225,Result Declared,U03,Himachal Pradesh
Bishnupur,37,BISHNUPUR(37),KHAN SAUMITRA,SUJATA MONDAL,5567,Result Declared,S25,Himachal Pradesh
Mahbubnagar,11,MAHBUBNAGAR(11),ARUNA. D. K,CHALLA VAMSHI CHAND REDDY,4500,Result Declared,S29,Himachal Pradesh
Dhaurahra,29,DHAURAHRA(29),ANAND BHADAURIYA,REKHA VERMA,4449,Result Declared,S24,Himachal Pradesh
VIRUDHUNAGAR,34,VIRUDHUNAGAR(34),MANICKAM TAGORE B,VIJAYAPRABHAKARAN V,4379,Result Declared,S22,Himachal Pradesh
Phulpur,51,PHULPUR(51),PRAVEEN PATEL,AMAR NATH SINGH MAURYA,4332,Result Declared,S24,Himachal Pradesh
Dhule,2,DHULE(2),BACHHAV SHOBHA DINESH,BHAMRE SUBHASH RAMRAO,3831,Result Declared,S13,Himachal Pradesh
Salempur,71,SALEMPUR(71),RAMASHANKAR RAJBHAR,RAVINDAR KUSHAWAHA,3573,Result Declared,S24,Himachal Pradesh
Firozpur,10,FIROZPUR(10),SHER SINGH GHUBAYA,JAGDEEP SINGH KAKA BRAR,3242,Result Declared,S19,Himachal Pradesh
Bansgaon,67,BANSGAON(67),KAMLESH PASWAN,SADAL PRASAD,3150,Result Declared,S24,Himachal Pradesh
Farrukhabad,40,FARRUKHABAD(40),MUKESH RAJPUT,DR. NAVAL KISHOR SHAKYA,2678,Result Declared,S24,Himachal Pradesh
Lakshadweep,1,LAKSHADWEEP(1),MUHAMMED HAMDULLAH SAYEED,MOHAMMED FAIZAL PP,2647,Result Declared,U06,Lakshadweep
Hamirpur,47,HAMIRPUR(47),AJENDRA SINGH LODHI,KUNWAR PUSHPENDRA SINGH CHANDEL,2629,Result Declared,S24,Himachal Pradesh
Chandigarh,1,CHANDIGARH(1),MANISH TEWARI,SANJAY TANDON,2504,Result Declared,U02,Himachal Pradesh
KANKER,11,KANKER(11),BHOJRAJ NAG,BIRESH THAKUR,1884,Result Declared,S26,Himachal Pradesh
JAIPUR RURAL,6,JAIPURRURAL(6),RAO RAJENDRA SINGH,ANIL CHOPRA,1615,Result Declared,S20,Himachal Pradesh
Jajpur,8,JAJPUR(8),RABINDRA NARAYAN BEHERA,SARMISTHA SETHI,1587,Result Declared,S18,Himachal Pradesh
Attingal,19,ATTINGAL(19),ADV ADOOR PRAKASH,V JOY,684,Result Declared,S11,Himachal Pradesh
Mumbai North West,27,MUMBAINORTHWEST(27),RAVINDRA DATTARAM WAIKAR,AMOL GAJANAN KIRTIKAR,48,Result Declared,S13,Himachal Pradesh
